NO_OF_SAMPLES	1250
TOT_NO_OF_CHAN	1
FREQUENCY	250
NO_OF_CALC_CHAN	0
TIME_STAMP	2012-02-07, 11:23:15	9856.86093359
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Channel_01
CHANNEL_GAIN	1
FP_LOCATION
FP_CAL
FP_GAIN
-0.143587	
-0.153048	
-0.201877	
-0.223545	
-0.187533	
-0.143587	
-0.153048	
-0.202487	
-0.224155	
-0.187228	
-0.143893	
-0.153353	
-0.202487	
-0.224460	
-0.187839	
-0.143893	
-0.154269	
-0.203708	
-0.224155	
-0.188144	
-0.143893	
-0.154879	
-0.204318	
-0.224155	
-0.188144	
-0.143893	
-0.154879	
-0.204318	
-0.225376	
-0.187533	
-0.144198	
-0.154879	
-0.204013	
-0.225681	
-0.187839	
-0.144198	
-0.154879	
-0.204929	
-0.225376	
-0.188144	
-0.145113	
-0.156100	
-0.204929	
-0.225681	
-0.189059	
-0.145113	
-0.155489	
-0.204929	
-0.226291	
-0.188449	
-0.144808	
-0.155489	
-0.204929	
-0.225071	
-0.187839	
-0.145418	
-0.155489	
-0.205234	
-0.225376	
-0.188144	
-0.144808	
-0.155795	
-0.204929	
-0.225681	
-0.187839	
-0.144198	
-0.156100	
-0.205234	
-0.225071	
-0.187839	
-0.144808	
-0.155795	
-0.205844	
-0.225681	
-0.187533	
-0.144808	
-0.156100	
-0.206149	
-0.225681	
-0.187839	
-0.143893	
-0.156405	
-0.206455	
-0.225376	
-0.187228	
-0.144808	
-0.156100	
-0.206149	
-0.225376	
-0.187533	
-0.145113	
-0.156100	
-0.207370	
-0.225376	
-0.186313	
-0.144808	
-0.156405	
-0.206455	
-0.225071	
-0.186923	
-0.144808	
-0.156405	
-0.205844	
-0.225681	
-0.186313	
-0.144198	
-0.156100	
-0.206455	
-0.225071	
-0.186313	
-0.144198	
-0.157015	
-0.207065	
-0.225376	
-0.186923	
-0.143587	
-0.157015	
-0.207065	
-0.225071	
-0.186923	
-0.143893	
-0.156405	
-0.207370	
-0.225681	
-0.186923	
-0.144198	
-0.157015	
-0.207065	
-0.225376	
-0.185397	
-0.143893	
-0.157015	
-0.207370	
-0.225071	
-0.186313	
-0.143587	
-0.157931	
-0.207370	
-0.225071	
-0.186313	
-0.143587	
-0.157321	
-0.207675	
-0.225986	
-0.185397	
-0.143587	
-0.157321	
-0.207370	
-0.224460	
-0.185092	
-0.143587	
-0.157626	
-0.207065	
-0.225376	
-0.184482	
-0.142977	
-0.157931	
-0.206455	
-0.225376	
-0.185092	
-0.143282	
-0.157626	
-0.207980	
-0.225376	
-0.184176	
-0.142977	
-0.157626	
-0.207675	
-0.224155	
-0.184176	
-0.143893	
-0.157931	
-0.207065	
-0.224155	
-0.184482	
-0.143587	
-0.157931	
-0.207980	
-0.224155	
-0.184176	
-0.143587	
-0.157931	
-0.207980	
-0.225071	
-0.183566	
-0.143893	
-0.158846	
-0.207980	
-0.225681	
-0.183566	
-0.142977	
-0.158846	
-0.208286	
-0.225376	
-0.183871	
-0.142977	
-0.157931	
-0.207675	
-0.224460	
-0.183566	
-0.143587	
-0.159152	
-0.209201	
-0.225376	
-0.183566	
-0.143587	
-0.158846	
-0.208286	
-0.224460	
-0.183871	
-0.143282	
-0.159152	
-0.208591	
-0.224155	
-0.182345	
-0.143282	
-0.157931	
-0.209201	
-0.223850	
-0.182956	
-0.143587	
-0.159457	
-0.208286	
-0.224155	
-0.182345	
-0.142062	
-0.159152	
-0.209506	
-0.224460	
-0.182345	
-0.142977	
-0.159152	
-0.209506	
-0.223850	
-0.182345	
-0.143282	
-0.160067	
-0.209506	
-0.225071	
-0.182345	
-0.142062	
-0.159457	
-0.210117	
-0.224460	
-0.182956	
-0.142977	
-0.160372	
-0.210422	
-0.224460	
-0.182040	
-0.142672	
-0.160067	
-0.209812	
-0.224460	
-0.182040	
-0.142062	
-0.160067	
-0.211032	
-0.223850	
-0.181735	
-0.142977	
-0.159762	
-0.210117	
-0.224460	
-0.181430	
-0.142977	
-0.159457	
-0.210117	
-0.225376	
-0.181125	
-0.142672	
-0.159762	
-0.210117	
-0.224460	
-0.181125	
-0.142062	
-0.160067	
-0.209812	
-0.224155	
-0.180819	
-0.142672	
-0.160983	
-0.211032	
-0.223545	
-0.180819	
-0.142672	
-0.160372	
-0.211337	
-0.223850	
-0.179904	
-0.142672	
-0.160372	
-0.210422	
-0.223850	
-0.180209	
-0.142672	
-0.160983	
-0.211337	
-0.223850	
-0.180209	
-0.142977	
-0.161593	
-0.211643	
-0.223239	
-0.179599	
-0.142977	
-0.161288	
-0.211032	
-0.224155	
-0.179904	
-0.142672	
-0.161288	
-0.211337	
-0.223850	
-0.179599	
-0.142062	
-0.161593	
-0.211032	
-0.223850	
-0.179599	
-0.142062	
-0.160983	
-0.211337	
-0.223239	
-0.179599	
-0.142672	
-0.160983	
-0.211948	
-0.223239	
-0.178988	
-0.142977	
-0.162203	
-0.211337	
-0.223545	
-0.179599	
-0.142672	
-0.162203	
-0.211337	
-0.222324	
-0.178378	
-0.142977	
-0.161898	
-0.211948	
-0.223850	
-0.179294	
-0.142672	
-0.162203	
-0.212253	
-0.223545	
-0.177768	
-0.141756	
-0.161898	
-0.211948	
-0.223239	
-0.178988	
-0.142062	
-0.162203	
-0.212558	
-0.222324	
-0.178988	
-0.142672	
-0.163119	
-0.211948	
-0.223239	
-0.178378	
-0.142672	
-0.162814	
-0.212253	
-0.222324	
-0.177768	
-0.142062	
-0.162203	
-0.212253	
-0.223239	
-0.177768	
-0.142062	
-0.163119	
-0.212253	
-0.222019	
-0.178073	
-0.142062	
-0.162203	
-0.213169	
-0.221714	
-0.177768	
-0.142672	
-0.163424	
-0.211948	
-0.221103	
-0.177462	
-0.142062	
-0.162814	
-0.213169	
-0.222629	
-0.177462	
-0.142672	
-0.163729	
-0.213474	
-0.222324	
-0.177462	
-0.142062	
-0.163729	
-0.213779	
-0.222019	
-0.177157	
-0.142062	
-0.164034	
-0.213779	
-0.221714	
-0.176852	
-0.142977	
-0.163424	
-0.213474	
-0.221714	
-0.177157	
-0.141756	
-0.163729	
-0.213779	
-0.223239	
-0.177157	
-0.141451	
-0.164034	
-0.213779	
-0.222019	
-0.176242	
-0.142062	
-0.164034	
-0.213474	
-0.222019	
-0.175631	
-0.142062	
-0.163729	
-0.213169	
-0.221714	
-0.175937	
-0.141756	
-0.164340	
-0.212558	
-0.221714	
-0.175326	
-0.142672	
-0.164034	
-0.213779	
-0.221408	
-0.175937	
-0.142672	
-0.164950	
-0.214084	
-0.221714	
-0.175631	
-0.142062	
-0.164950	
-0.214389	
-0.219883	
-0.175326	
-0.142062	
-0.164340	
-0.214084	
-0.221408	
-0.175326	
-0.142672	
-0.164950	
-0.214084	
-0.221103	
-0.174411	
-0.141451	
-0.165560	
-0.215000	
-0.221408	
-0.175326	
-0.141756	
-0.165255	
-0.215305	
-0.221103	
-0.173800	
-0.142977	
-0.165866	
-0.215305	
-0.220493	
-0.175021	
-0.142062	
-0.165255	
-0.215000	
-0.220493	
-0.174411	
-0.141756	
-0.165866	
-0.214389	
-0.220493	
-0.174411	
-0.142062	
-0.166171	
-0.215305	
-0.220493	
-0.174105	
-0.141756	
-0.165866	
-0.215000	
-0.219883	
-0.173800	
-0.141451	
-0.165866	
-0.215000	
-0.221408	
-0.173800	
-0.141451	
-0.165866	
-0.215305	
-0.220493	
-0.173495	
-0.141756	
-0.166171	
-0.215610	
-0.219883	
-0.173495	
-0.141756	
-0.166781	
-0.215000	
-0.221103	
-0.173495	
-0.142062	
-0.166781	
-0.215915	
-0.220188	
-0.173495	
-0.141756	
-0.167086	
-0.215305	
-0.219577	
-0.172885	
-0.142062	
-0.166171	
-0.215915	
-0.219577	
-0.173190	
-0.143282	
-0.167391	
-0.215915	
-0.219272	
-0.172274	
-0.141756	
-0.167391	
-0.216220	
-0.219272	
-0.172885	
-0.141146	
-0.168002	
-0.216220	
-0.219272	
-0.173190	
-0.142672	
-0.167697	
-0.216220	
-0.219883	
-0.172274	
-0.142977	
-0.167391	
-0.216526	
-0.218662	
-0.171969	
-0.141756	
-0.168002	
-0.216220	
-0.218662	
-0.171969	
-0.142062	
-0.168307	
-0.216526	
-0.219272	
-0.171969	
-0.141756	
-0.168307	
-0.215915	
-0.219272	
-0.172274	
-0.142672	
-0.169223	
-0.216526	
-0.218662	
-0.171664	
-0.141756	
-0.168307	
-0.215915	
-0.218357	
-0.171664	
-0.141756	
-0.169223	
-0.216526	
-0.219272	
-0.171054	
-0.141451	
-0.169223	
-0.216526	
-0.218357	
-0.171359	
-0.142062	
-0.169528	
-0.217441	
-0.218662	
-0.171054	
-0.141451	
-0.168917	
-0.217441	
-0.218357	
-0.171054	
-0.141756	
-0.169528	
-0.217746	
-0.218051	
-0.171054	
-0.142062	
-0.169833	
-0.217441	
-0.218357	
-0.171054	
-0.142672	
-0.170138	
-0.218051	
-0.218357	
-0.170138	
-0.141756	
-0.169833	
-0.218051	
-0.218051	
-0.170138	
-0.142062	
-0.170138	
-0.217746	
-0.218662	
-0.170138	
-0.141451	
-0.169833	
-0.218051	
-0.218357	
-0.170443	
-0.141451	
-0.169528	
-0.218357	
-0.218051	
-0.169528	
-0.142062	
-0.170138	
-0.217746	
-0.218051	
-0.169223	
-0.142672	
-0.170443	
-0.218662	
-0.218051	
-0.169528	
-0.142062	
-0.170138	
-0.218051	
-0.217136	
-0.169223	
-0.141756	
-0.170443	
-0.218357	
-0.217441	
-0.169833	
-0.141756	
-0.170443	
-0.218357	
-0.217441	
-0.169528	
-0.141756	
-0.171054	
-0.218051	
-0.217746	
-0.169223	
-0.141451	
-0.171054	
-0.219272	
-0.216220	
-0.168002	
-0.141451	
-0.171969	
-0.218357	
-0.217136	
-0.168307	
-0.141756	
-0.171664	
-0.218357	
-0.216220	
-0.168917	
-0.141756	
-0.171664	
-0.217746	
-0.215915	
-0.168917	
-0.141756	
-0.172885	
-0.218357	
-0.216526	
-0.168307	
-0.141756	
-0.171969	
-0.218357	
-0.216526	
-0.167697	
-0.141756	
-0.172885	
-0.218662	
-0.215915	
-0.167391	
-0.141451	
-0.172885	
-0.219272	
-0.215610	
-0.167697	
-0.142062	
-0.172274	
-0.219272	
-0.215915	
-0.167086	
-0.141756	
-0.172274	
-0.219272	
-0.215610	
-0.167391	
-0.141451	
-0.173190	
-0.219272	
-0.215915	
-0.167391	
-0.141756	
-0.173190	
-0.219577	
-0.215305	
-0.167086	
-0.141756	
-0.173190	
-0.219577	
-0.215915	
-0.166781	
-0.141451	
-0.173190	
-0.219272	
-0.215000	
-0.166171	
-0.142672	
-0.173495	
-0.219577	
-0.215000	
-0.167086	
-0.142062	
-0.173190	
-0.219272	
-0.215000	
-0.166781	
-0.141756	
-0.173800	
-0.220188	
-0.215305	
-0.166171	
-0.141451	
-0.173495	
-0.219577	
-0.215915	
-0.166171	
-0.142672	
-0.173800	
-0.219577	
-0.215305	
-0.165866	
-0.141146	
-0.174411	
-0.220188	
-0.214389	
-0.165866	
-0.142062	
-0.174411	
-0.219883	
-0.214084	
-0.165560	
-0.142672	
-0.174411	
-0.219883	
-0.214389	
-0.165866	
-0.141451	
-0.174105	
-0.220188	
-0.214084	
-0.165255	
-0.141451	
-0.175021	
-0.220188	
-0.215000	
-0.165560	
-0.141451	
-0.175631	
-0.220493	
-0.214389	
-0.165866	
-0.141451	
-0.174411	
-0.221408	
-0.214389	
-0.164950	
-0.141756	
-0.175326	
-0.221408	
-0.213474	
-0.164034	
-0.141451	
-0.174411	
-0.220493	
-0.213169	
-0.164950	
-0.141756	
-0.175631	
-0.219883	
-0.214389	
-0.164034	
-0.142672	
-0.175937	
-0.221103	
-0.214084	
-0.164034	
-0.141451	
-0.175326	
-0.221408	
-0.215000	
-0.164340	
-0.141756	
-0.175631	
-0.219883	
-0.213474	
-0.164034	
-0.141451	
-0.176852	
-0.220493	
-0.213779	
-0.163729	
-0.143282	
-0.175937	
-0.221103	
-0.214389	
-0.164034	
-0.141756	
-0.175937	
-0.221408	
-0.213474	
-0.164034	
-0.141756	
-0.176852	
-0.221103	
-0.212558	
-0.164340	
-0.141756	
-0.176242	
-0.221103	
-0.212558	
-0.163729	
-0.142672	
-0.177157	
-0.221408	
-0.213169	
-0.163424	
-0.141756	
-0.177157	
-0.221408	
-0.213169	
-0.163729	
-0.142062	
-0.177462	
-0.221714	
-0.211948	
-0.163729	
-0.141756	
-0.177157	
-0.221714	
-0.212558	
-0.163424	
-0.141451	
-0.177157	
-0.221408	
-0.213169	
-0.162814	
-0.142062	
-0.177462	
-0.222019	
-0.212558	
-0.163424	
-0.141756	
-0.177157	
-0.222019	
-0.211948	
-0.162203	
-0.141146	
-0.177462	
-0.222324	
-0.213169	
-0.162814	
-0.141451	
-0.178073	
-0.221408	
-0.212558	
-0.162203	
-0.142062	
-0.178073	
-0.223239	
-0.211337	
-0.162814	
-0.141756	
-0.178073	
-0.222324	
-0.211337	
-0.163119	
-0.141756	
-0.178073	
-0.222019	
-0.212558	
-0.162203	
-0.141756	
-0.178073	
-0.222019	
-0.212253	
-0.163119	
-0.142062	
-0.179294	
-0.222324	
-0.211643	
-0.162203	
-0.142062	
-0.178073	
-0.222629	
-0.211643	
-0.162203	
-0.141451	
-0.179904	
-0.222324	
-0.211337	
-0.162203	
-0.142062	
-0.179294	
-0.222019	
-0.211948	
-0.161593	
-0.142062	
-0.179599	
-0.222324	
-0.210422	
-0.160983	
-0.141756	
-0.179904	
-0.222019	
-0.211032	
-0.161593	
-0.143282	
-0.180209	
-0.223239	
-0.210117	
-0.161288	
-0.141451	
-0.179904	
-0.223239	
-0.211337	
-0.161288	
-0.141451	
-0.179599	
-0.223545	
-0.210422	
-0.160983	
-0.141756	
-0.179904	
-0.222324	
-0.210422	
-0.160372	
-0.141756	
-0.180209	
-0.222019	
-0.210422	
-0.160372	
-0.141756	
-0.181430	
-0.223850	
-0.211032	
-0.160983	
-0.142062	
-0.179904	
-0.222324	
-0.210422	
-0.160372	
-0.141756	
-0.181125	
-0.223239	
-0.209812	
-0.160067	
-0.142062	
-0.180819	
-0.222324	
-0.210117	
-0.160067	
-0.141451	
-0.182345	
-0.223850	
-0.210117	
-0.159762	
-0.141451	
-0.181125	
-0.223850	
-0.210117	
-0.160372	
-0.142672	
-0.181735	
-0.223545	
-0.209812	
-0.159762	
-0.141756	
-0.181735	
-0.223239	
-0.209506	
-0.160067	
-0.142977	
-0.181430	
-0.223545	
-0.209506	
-0.159457	
-0.141451	
-0.181125	
-0.223850	
-0.209201	
-0.159152	
-0.141756	
-0.182345	
-0.223545	
-0.209201	
-0.158846	
-0.141451	
-0.182040	
-0.223545	
-0.209506	
-0.159457	
-0.141451	
-0.182956	
-0.223239	
-0.209201	
-0.158846	
-0.142672	
-0.181735	
-0.223850	
-0.209201	
-0.158846	
-0.141756	
-0.182956	
-0.224155	
-0.209506	
-0.158846	
-0.141146	
-0.182345	
-0.224155	
-0.208591	
-0.158846	
-0.141451	
-0.182345	
-0.224155	
-0.207675	
-0.158236	
-0.142977	
-0.182956	
-0.223850	
-0.208286	
-0.159457	
-0.141756	
-0.183261	
-0.223850	
-0.207980	
-0.157931	
-0.141756	
-0.183261	
-0.223545	
-0.208591	
-0.158236	
-0.142062	
-0.183871	
-0.223850	
-0.207980	
-0.159152	
-0.142977	
-0.183871	
-0.223545	
-0.207370	
-0.158846	
-0.142672	
-0.184176	
-0.223545	
-0.207675	
-0.158846	
-0.142977	
-0.184176	
-0.224155	
-0.207980	
-0.157931	
-0.142062	
-0.183871	
-0.224155	
-0.207980	
-0.157931	
-0.142062	
-0.183871	
-0.223850	
-0.207980	
-0.157626	
-0.142672	
-0.184176	
-0.224460	
-0.207980	
-0.157931	
-0.142977	
-0.184482	
-0.223850	
-0.207675	
-0.157931	
-0.141756	
-0.184482	
-0.223850	
-0.207675	
-0.157321	
-0.142062	
-0.184482	
-0.225071	
-0.207675	
-0.157626	
-0.143282	
-0.185092	
-0.223850	
-0.206455	
-0.157321	
-0.143282	
-0.185092	
-0.224460	
-0.207065	
-0.157015	
-0.142977	
-0.185702	
-0.224460	
-0.207065	
-0.156405	
-0.142977	
-0.185092	
-0.223850	
-0.207675	
-0.156405	
-0.142977	
-0.185702	
-0.224155	
-0.207065	
-0.156100	
-0.143282	
-0.186007	
-0.224155	
-0.207065	
-0.156405	
-0.142977	
-0.186313	
-0.224155	
-0.205844	
-0.156405	
-0.143587	
-0.185702	
-0.224155	
-0.206149	
-0.156405	
-0.143893	
-0.186313	
-0.224460	
-0.206149	
-0.156405	
-0.143587	
-0.186007	
-0.224155	
-0.206455	
-0.156100	
-0.142977	
-0.186313	
-0.224155	
-0.205539	
-0.156405	
-0.143893	
-0.187533	
-0.224460	
-0.206455	
-0.155184	
-0.142977	
-0.186923	
-0.224460	
-0.205234	
-0.155489	
-0.143587	
-0.188449	
-0.225376	
-0.205539	
-0.155795	
-0.143893	
-0.187533	
-0.224460	
-0.205539	
-0.155489	
-0.143587	
-0.188144	
-0.224155	
-0.204929	
-0.155795	
-0.143587	
-0.187533	
-0.225071	
-0.204929	
-0.155184	
-0.143587	
-0.187533	
-0.224155	
-0.204929	
-0.155489	
-0.143893	
-0.187839	
-0.224460	
-0.205539	
-0.155489	
-0.144808	
-0.187839	
-0.225071	
-0.204318	
-0.155489	
-0.143893	
-0.187839	
-0.224460	
-0.204929	
-0.154269	
-0.144198	
-0.187533	
-0.224155	
-0.204318	
-0.155184	
-0.143893	
-0.189059	
-0.223850	
-0.204929	
-0.155184	
-0.145113	
-0.187839	
-0.224460	
-0.204929	
-0.154879	
-0.144198	
-0.189364	
-0.225376	
-0.204013	
-0.154879	
